"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"81","GSE35988",88,28796,2534048,"DRR","DRR","DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182
"82","GSE35988",88,28796,2534048,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.61,0.22,3,0,0.363,0.84,NA,NA,NA,NA,NA,23,9.682,0.421,0.157
"83","GSE35988",88,28796,2534048,"kPCA","kPCA","kPCA",NA,NA,0.52,0.03,3,0,0.038,0.56,NA,NA,NA,NA,NA,51,31.955,0.627,0.04
"84","GSE44076",246,49386,12148956,"HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)",NA,NA,0.79,0.58,3,0.003,87.963,0.863,NA,NA,NA,NA,NA,77,58.175,0.756,0.441
"85","GSE44076",246,49386,12148956,"HSLMDS [k=245] [kQuality=243] (HSLocalMDS)","HSLMDS [k=245] [kQuality=243] (HSLocalMDS)","HSLMDS (HSLocalMDS)",245,NA,0.79,0.57,1,NA,281.136,0.822,NA,NA,NA,NA,NA,81,62.037,0.766,0.435
"86","GSE44076",246,49386,12148956,"Isomap [k=220]","Isomap [k=220]","Isomap",220,NA,0.78,0.56,1,NA,2.905,0.863,NA,NA,NA,NA,NA,72,53.142,0.738,0.444
"87","GSE44076",246,49386,12148956,"LMDS [k=203] [kQuality=202] (HSLocalMDS)","LMDS [k=203] [kQuality=202] (HSLocalMDS)","LMDS (HSLocalMDS)",203,NA,0.78,0.56,1,NA,37.364,0.918,NA,NA,NA,NA,NA,61,42.919,0.704,0.455
"88","GSE44076",246,49386,12148956,"MDS (HSLocalMDS)","MDS (HSLocalMDS)","MDS (HSLocalMDS)",NA,NA,0.78,0.55,3,0.005,8.971,0.918,NA,NA,NA,NA,NA,53,35.537,0.671,0.454
"89","GSE44076",246,49386,12148956,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.77,0.53,3,0,6.967,0.945,NA,NA,NA,NA,NA,56,35.724,0.638,0.409
"90","GSE44076",246,49386,12148956,"PPCA","PPCA","PPCA",NA,NA,0.77,0.53,3,23630.169,94.925,0.945,NA,NA,NA,NA,NA,50,30.943,0.619,0.415
"91","GSE44076",246,49386,12148956,"UMAP [k=187]","UMAP [k=187]","UMAP",187,NA,0.72,0.43,1,NA,1.339,0.904,NA,NA,NA,NA,NA,40,20.858,0.521,0.358
"92","GSE44076",246,49386,12148956,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.6,0.2,3,0,0.045,0.521,NA,NA,NA,NA,NA,98,54.813,0.559,0.159
"93","GSE44076",246,49386,12148956,"tSNE [perp=11]","tSNE [perp=11]","tSNE",NA,11,0.58,0.16,1,NA,1.836,0.753,NA,NA,NA,NA,NA,1,0.163,0.163,0.159
"94","GSE44076",246,49386,12148956,"LMDS [k=170] (smacofx)","LMDS [k=170] (smacofx)","LMDS (smacofx)",170,NA,0.58,0.16,1,NA,17.195,0.575,NA,NA,NA,NA,NA,69,29.634,0.429,0.148
"95","GSE44076",246,49386,12148956,"kPCA","kPCA","kPCA",NA,NA,0.54,0.07,3,0,0.54,0.616,NA,NA,NA,NA,NA,109,55.435,0.509,0.064
"96","GSE44076",246,49386,12148956,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.53,0.06,3,0,2.007,0.438,NA,NA,NA,NA,NA,46,10.911,0.237,0.049
"97","GSE44076",246,49386,12148956,"DRR","DRR","DRR",NA,NA,0.53,0.06,3,0.459,4.839,0.452,NA,NA,NA,NA,NA,45,10.545,0.234,0.051
