"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"LMDS [k=15] [kQuality=16] (HSLocalMDS)","LMDS [k=15] [kQuality=16] (HSLocalMDS)","LMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,7.072,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"LMDS [k=15] [kQuality=17] (HSLocalMDS)","LMDS [k=15] [kQuality=17] (HSLocalMDS)","LMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,7.083,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"LMDS [k=15] [kQuality=18] (HSLocalMDS)","LMDS [k=15] [kQuality=18] (HSLocalMDS)","LMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,7.067,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"LMDS [k=18] (smacofx)","LMDS [k=18] (smacofx)","LMDS (smacofx)",18,NA,0.74,0.48,1,NA,3.22,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
"LMDS [k=18] [kQuality=15] (HSLocalMDS)","LMDS [k=18] [kQuality=15] (HSLocalMDS)","LMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,3.044,0.923,0.923,0.923,0.923,0.923,0.923,18,11.722,0.651,0.449
"LMDS [k=18] [kQuality=16] (HSLocalMDS)","LMDS [k=18] [kQuality=16] (HSLocalMDS)","LMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,2.992,0.923,0.923,0.923,0.923,0.923,0.923,18,11.722,0.651,0.449
"LMDS [k=18] [kQuality=17] (HSLocalMDS)","LMDS [k=18] [kQuality=17] (HSLocalMDS)","LMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,3.068,0.923,0.923,0.923,0.923,0.923,0.923,18,11.722,0.651,0.449
"LMDS [k=18] [kQuality=18] (HSLocalMDS)","LMDS [k=18] [kQuality=18] (HSLocalMDS)","LMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,3.014,0.923,0.923,0.923,0.923,0.923,0.923,18,11.722,0.651,0.449
"LMDS [k=18] [kQuality=19] (HSLocalMDS)","LMDS [k=18] [kQuality=19] (HSLocalMDS)","LMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,3,0.923,0.923,0.923,0.923,0.923,0.923,18,11.722,0.651,0.449
"LMDS [k=18] [kQuality=20] (HSLocalMDS)","LMDS [k=18] [kQuality=20] (HSLocalMDS)","LMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,2.937,0.923,0.923,0.923,0.923,0.923,0.923,18,11.722,0.651,0.449
